Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
16YJCZH086,1,0,0,0,0,0,1,0,1,0,100
16‐RMB‐UCHC‐10,0,0,0,0,1,0,1,100,0,0,100
16‐UOO‐1602,0,0,0,0,1,0,1,100,0,0,100
16‐VUW‐040,0,2,0,0,0,0,2,100,0,0,100
17-013,0,2,0,0,0,0,2,100,0,0,100
17-UOA-023-CSG,0,1,0,0,0,0,1,100,0,0,100
17-UOA-24,1,0,0,0,0,0,1,0,0,0,0
17/013,6,5,0,2,0,3,16,62,6,0,100
17/44/29,0,0,0,0,1,0,1,100,0,0,100
17108217,1,0,0,0,0,0,1,0,1,0,100
17203417,1,0,0,0,0,0,1,0,0,0,0
173,2,0,0,0,0,0,2,0,2,0,100
"17303115, 17311316, HKU 17302518",0,1,0,0,0,0,1,100,0,0,100
"17303115, HKU 17302518, HKU 17311316",0,0,0,1,0,0,1,100,0,0,100
"17303115, HKU 17302518, HKU 709413P",0,0,0,0,0,1,1,100,0,0,100
175/2000,0,0,0,0,1,0,1,100,0,0,100
17A113,2,0,0,0,0,0,2,0,0,2,100
17B146,2,0,0,0,0,0,2,0,0,2,100
17CYY053,1,0,0,0,0,0,1,0,1,0,100
17GRNT33370058,0,0,0,0,0,1,1,100,0,0,100
17JC1402500,2,0,0,0,0,0,2,0,2,0,100
17JCJQJC43600,0,1,0,0,0,0,1,100,0,0,100
"17JCYBJC42500, 17YFZCSF01140, 19JCTPJC53500",2,0,0,0,0,0,2,0,2,0,100
17PJ062,1,0,0,0,0,0,1,0,1,0,100
17YF1420500,1,0,0,0,0,0,1,0,0,1,100
"17YFZCSF01140, 18JCQNJC77700, 19JCTPJC53500",1,0,0,0,0,0,1,0,1,0,100
"18.11, MFP-UOO1903",0,1,0,0,0,0,1,100,0,0,100
18/079,1,0,0,0,0,0,1,0,1,0,100
"1803010, 1908005",0,0,1,0,0,0,1,100,0,0,100
1804,0,1,0,0,0,0,1,100,0,0,100
1806,0,0,0,0,0,1,1,100,0,0,100
1810829,0,0,0,0,1,0,1,100,0,0,100
"182102410083, 192102110112, 202102110149",0,0,1,0,0,0,1,100,0,0,100
"18223, 18226",0,0,0,0,0,1,1,100,0,0,100
18226508D,1,0,0,0,0,0,1,0,0,0,0
1830,0,0,0,0,0,1,1,100,0,0,100
18391900600,2,0,0,1,0,0,3,33,2,0,100
1853,0,0,0,0,1,0,1,100,0,0,100
"18A460022, 19A430014",1,0,0,0,0,0,1,0,1,0,100
18EYB014,1,1,0,0,0,0,2,50,1,0,100
18JC1410800,2,0,0,1,0,0,3,33,2,0,100
18PJ1404600,0,0,0,1,0,0,1,100,0,0,100
19-28807X,0,1,0,0,0,0,1,100,0,0,100
19-UOA-223,0,0,0,0,1,0,1,100,0,0,100
19/007,2,1,0,0,0,0,3,33,1,0,66
19/173,0,1,0,0,0,0,1,100,0,0,100
"192102110112, 192102110214",0,1,0,0,0,0,1,100,0,0,100
192102210215,1,0,0,0,0,0,1,0,1,0,100
199659,1,0,0,0,0,0,1,0,1,0,100
19A430014,2,0,0,0,0,0,2,0,2,0,100
19AZD014,0,0,0,0,1,0,1,100,0,0,100
19CYY008,0,1,0,0,0,0,1,100,0,0,100
19JC1416700,1,0,0,0,0,0,1,0,1,0,100
19KJB510001,1,0,0,0,0,0,1,0,1,0,100
19YJA630103,2,0,0,0,0,0,2,0,2,0,100
19YJA740062,1,0,0,0,0,0,1,0,0,1,100
19YJA740070,1,0,0,0,0,0,1,0,1,0,100
19YJA790024,0,1,0,0,0,0,1,100,0,0,100
19YJCZH002,2,0,0,0,0,0,2,0,2,0,100
19ZDA352,0,1,0,0,0,0,1,100,0,0,100
19‐28807X,0,0,0,0,0,1,1,100,0,0,100
19–28807X,0,0,0,0,0,1,1,100,0,0,100
1E1CMS331080,0,0,0,0,1,0,1,100,0,0,100
1R25TW00934001,0,0,0,0,1,1,2,100,0,0,100
"1S10OD017974-01, P41 EB015894",0,0,0,0,1,0,1,100,0,0,100
"1UO1 MH076290, MH 076251, MH 076255, MH076250, MH076254",0,0,0,0,1,0,1,100,0,0,100
"2.779, 222",1,0,0,0,0,0,1,0,1,0,100
200020-172611,0,0,0,0,1,0,1,100,0,0,100
2002,1,0,0,0,0,0,1,0,1,0,100
2003-017,0,0,0,0,1,0,1,100,0,0,100
"2007-006, 44388-MAR",1,0,0,0,0,0,1,0,1,0,100
"2007B202, 2001D019, CVON 2012-10, 2003T302",0,0,0,0,0,1,1,100,0,0,100
"2010T2S05, 2017VCA0024",0,0,0,0,0,1,1,100,0,0,100
2012 Prime Minister's MacDiarmid Emerging Scientist Prize,0,1,0,0,0,0,1,100,0,0,100
2012-3996,0,0,0,0,1,0,1,100,0,0,100
2012/1140,0,0,0,1,0,0,1,100,0,0,100
2012196,0,0,0,0,0,1,1,100,0,0,100
"2013.086.1, 2013.086.2, G-509200-004",0,0,0,0,0,1,1,100,0,0,100
"2013.086.2, G-509200-004",0,1,0,0,0,0,1,100,0,0,100
"2013.086.2, G-509200–004",0,0,0,0,1,0,1,100,0,0,100
2013.81.1664,0,1,0,0,0,0,1,100,0,0,100
2013/09/B/ NZ5/00770,0,0,0,1,0,0,1,100,0,0,100
20130206073,1,0,0,0,0,0,1,0,0,0,0
20133221120012,1,0,0,0,0,0,1,0,0,1,100
2014-241,0,12,0,0,0,0,12,100,0,0,100
2014/13/B/HS6/03137,1,0,0,0,0,0,1,0,1,0,100
2014001,1,0,0,0,0,0,1,0,1,0,100
2014001360002,0,0,1,0,0,0,1,100,0,0,100
2014A010107024,1,1,0,0,0,0,2,50,1,0,100
2014CB239402,1,0,0,0,0,0,1,0,1,0,100
2014CB921104,1,0,0,0,0,0,1,0,1,0,100
2014– 241,0,0,0,1,0,0,1,100,0,0,100
2014–430,0,0,0,1,0,0,1,100,0,0,100
2015-MAU-01-NHRP,0,0,0,0,0,1,1,100,0,0,100
2015/FO5146,0,1,0,0,0,0,1,100,0,0,100
20150313860,0,0,0,1,0,0,1,100,0,0,100
"201508020248, 201604020019",1,0,0,0,0,0,1,0,0,0,0
20151BBF60041,2,0,0,0,0,0,2,0,2,0,100
"2015A030306042, 2016A030313106",1,0,0,0,0,0,1,0,0,0,0
2015A030312003,1,0,0,0,0,0,1,0,1,0,100
2015A030312014,1,0,0,0,0,0,1,0,0,0,0
2015AA042301,1,0,0,0,0,0,1,0,1,0,100
2015BAG12B01,2,0,0,0,0,0,2,0,2,0,100
2015DFR00720,1,0,0,0,0,0,1,0,1,0,100
2015IT100152,0,1,0,0,0,0,1,100,0,0,100
2015SF124,1,0,0,0,0,0,1,0,1,0,100
2015SZ0229,1,0,0,0,0,2,3,66,1,0,100
2015XXRJ-011,4,0,0,0,0,0,4,0,3,1,100
2015Y2001-55,0,1,0,0,0,0,1,100,0,0,100
2015Y2001-65,1,2,0,0,0,0,3,66,1,0,100
2015ZX09102007‐007,0,1,0,0,0,0,1,100,0,0,100
2015sZ0229,0,0,0,0,0,1,1,100,0,0,100
2016 Performance-Based Research Fund from School of Pharmacy,0,0,0,0,0,1,1,100,0,0,100
2016 TransTasman Red Nose/Curekids,0,1,0,0,0,0,1,100,0,0,100
2016-0096,0,0,0,0,1,0,1,100,0,0,100
"2016-06355, NSF-1541002, NSF-1550707",0,0,0,0,1,0,1,100,0,0,100
2016-6,0,0,0,0,0,1,1,100,0,0,100
2016-ZD02,1,0,0,0,0,0,1,0,1,0,100
201601D102045,1,0,0,0,0,0,1,0,1,0,100
201605030014,1,0,0,0,0,0,1,0,1,0,100
201606260063,2,0,0,0,0,0,2,0,1,0,50
20160704,1,0,0,0,0,0,1,0,0,0,0
201608,0,1,0,0,0,0,1,100,0,0,100
201611,1,0,0,0,0,0,1,0,1,0,100
2016201604030030,0,0,0,0,1,0,1,100,0,0,100
2016348,1,0,0,0,0,0,1,0,1,0,100
"201668, 305739",0,0,0,1,0,0,1,100,0,0,100
20168510030830,0,1,0,0,0,0,1,100,0,0,100
"2016A030312013, 2018A030310555",1,0,0,0,0,0,1,0,1,0,100
2016B090931002,1,0,0,0,0,0,1,0,1,0,100
2016C04001,1,0,0,0,0,0,1,0,1,0,100
2016GNC1110,0,0,0,1,0,0,1,100,0,0,100
"2016GSF120010, GJFP201800804",1,0,0,0,0,0,1,0,1,0,100
2016H010,1,0,0,0,0,0,1,0,1,0,100
2016KW-006,2,0,0,0,0,0,2,0,2,0,100
2016RS2018,1,0,0,0,0,0,1,0,1,0,100
2016TX03R095,1,0,0,0,0,0,1,0,0,0,0
2016YFA0400702,0,0,0,0,1,0,1,100,0,0,100
