Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Centre for Health, Activity, and  Rehabilitation Research, School of Physiotherapy, University of Otago",0,0,0,0,0,0,0,0,0
"Centre for International Health, Department of Preventive and Social Medicine, Dunedin School of Medicine, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Centre for International Health, Department of Preventive and Social Medicine, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Centre for International Health, Dunedin School of Medicine, University of Otago",3,0,1,0,0,1,1,3,3,100%,0,0,100%
"Centre for International Health, Otago Medical School, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for International Health, University of Otago",21,0,8,0,2,3,8,21,21,100%,0,0,100%
"Centre for Materials Science & Technology, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Materials Science and Technology, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Centre for Medical Education, Queen's University Belfast, Belfast, United Kingdom, Department of General Practice and Rural Health, University of Otago",1,0,1,0,0,0,0,0,0,,0,0,0%
"Centre for Microbial Diseases and Immunity Research, Department of Microbiology and Immunology, University of British Columbia, 2259 Lower Mall Research Station, Vancouver, BC  V6T1Z4, Canada, Department of Microbiology and Immunology, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Centre for Microbial Diseases and Immunity Research, Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC  V6T 1Z4, Canada, Department of Microbiology and Immunology, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Microbial Diseases and Immunity Research, Department of Microbiology and Immunology, University of British Columbia, Vancouver, Canada, Department of Microbiology and Immunology, University of Otago",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Centre for Microbial Diseases and Immunity Research, University of British Columbia, Vancouver, BC, Canada, Department of Microbiology, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Musculoskeletal Outcome Research, Department of Surgical Sciences, Dunedin School of Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Musculoskeletal Outcomes Research, Department of Surgical Sciences, Dunedin School of Medicine, University of Otago",5,1,2,0,1,0,1,5,4,80%,1,0,100%
"Centre for Musculoskeletal Outcomes Research, Department of Surgical Sciences, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Musculoskeletal Outcomes Research, Dunedin School of Medicine, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Musculoskeletal Outcomes Research, Otago Medical School, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Musculoskeletal Outcomes Research, Section of Orthopaedic Surgery, Department of Surgical Sciences, Dunedin School of Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Musculoskeletal Outcomes Research, University of Otago",2,1,0,0,0,1,0,2,1,50%,1,0,100%
"Centre for Neuroendocrinology and Department of Anatomy, School of Biomedical Sciences, University of Otago",5,5,0,0,0,0,0,4,0,0%,4,0,80%
"Centre for Neuroendocrinology and Department of Anatomy, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Centre for Neuroendocrinology and Department of Physiology, School of Biomedical Sciences, University of Otago",4,3,0,0,0,1,0,4,1,25%,3,0,100%
